name,latitude,longitude,floor,timeStamp,type
1,31.2327899765,121.382029914,-2,"[16, 31, 26]",R
2,31.23279,121.38203,-2,"[16, 31, 27]",R
3,31.23279,121.38203,-2,"[16, 31, 28]",R
4,31.2327900009,121.382029999,-2,"[16, 31, 30]",R
5,31.2327900018,121.382029998,-2,"[16, 31, 31]",R
6,31.2327900018,121.382029998,-2,"[16, 31, 32]",R
7,31.2327900018,121.382029998,-2,"[16, 31, 33]",R
8,31.2327900021,121.382029997,-2,"[16, 31, 34]",R
9,31.2327900021,121.382029997,-2,"[16, 31, 35]",R
10,31.2327900021,121.382029997,-2,"[16, 31, 36]",R
11,31.2327900021,121.382029997,-2,"[16, 31, 37]",R
12,31.233056,121.382084,-2,"[16, 38, 6]",R
13,31.2330560109,121.382083849,-2,"[16, 38, 7]",R
14,31.2330560109,121.382083849,-2,"[16, 38, 8]",R
15,31.233056011,121.382083848,-2,"[16, 38, 9]",R
16,31.2330560112,121.382083848,-2,"[16, 38, 10]",R
17,31.2330560072,121.382083902,-2,"[16, 38, 11]",R
18,31.2330560005,121.382083993,-2,"[16, 38, 12]",R
19,31.2330560006,121.382083993,-2,"[16, 38, 14]",R
20,31.2330560006,121.382083993,-2,"[16, 38, 15]",R
21,31.2330560006,121.382083992,-2,"[16, 38, 16]",R
22,31.2330560001,121.382084,-2,"[16, 38, 17]",R
23,31.2330560001,121.382084,-2,"[16, 38, 18]",R
24,31.233056,121.382084,-2,"[16, 38, 19]",R
25,31.233056,121.382084,-2,"[16, 38, 20]",R
26,31.233056,121.382084,-2,"[16, 38, 21]",R
27,31.233056,121.382084,-2,"[16, 38, 22]",R
28,31.233056,121.382084,-2,"[16, 38, 24]",R
29,31.233056,121.382084,-2,"[16, 38, 25]",R
30,31.233056,121.382084,-2,"[16, 38, 27]",R
31,31.233056,121.382084,-2,"[16, 38, 28]",R
32,31.233056,121.382084,-2,"[16, 38, 29]",R
33,31.233056,121.382084,-2,"[16, 38, 30]",R
34,31.233056,121.382084,-2,"[16, 38, 31]",R
35,31.233056,121.382084,-2,"[16, 38, 33]",R
36,31.233056,121.382084,-2,"[16, 38, 34]",R
37,31.233056,121.382084,-2,"[16, 38, 35]",R
38,31.2330560001,121.382083999,-2,"[16, 38, 37]",R
39,31.2330560003,121.382083997,-2,"[16, 38, 38]",R
40,31.233056,121.382084,-2,"[16, 38, 39]",R
41,31.233056,121.382084,-2,"[16, 38, 40]",R
